"","1","1.1","1.5"
"Assertion.Roulette",0.00328185721047695,0.00330718044904698,0.00341043577538079
"Conditional.Test.Logic",0.00328185721047695,0.0032677135912633,0.0032117440763647
"General.Fixture",0.00328185721047695,0.00327573987757035,0.00325138398849896
"Mystery.Guest",0.00328185721047695,0.00328368701744382,0.00329101641942692
"Redundant.Assertion",0.00328185721047695,0.00328272137346431,0.00328618029398156
"Duplicate.Assert",0.00328185721047695,0.00328908073114819,0.00331813362676636
"Resource.Optimism",0.00328185721047695,0.00328686989218802,0.0033069970449367
"Print.Statement_removed",0.00328185721047695,0.00328279740961974,0.00328656089159743
"Eager.Test_removed",0.00328185721047695,0.00328174365282031,0.00328128946135589
"Print.Statement_added",0.00328185721047695,0.00328145267489653,0.00327983502952038
